"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"spatial_pd_demographic.nlogo"
"experiment"
"06/07/2024 08:46:32:123 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","agent-maxage","pd-r","histogram-granularity","pd-s","agent-procreation-min-wealth","agent-init-coop-ratio","simulation-steps","pd-t","agent-number","agent-init-random-birth-age","patch-background-color","neighborhood","mutation-rate","agent-init-endowment","pd-p","[step]","count turtles","count cooperators","count defectors"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","674","504","170"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","374","216","158"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","368","190","178"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","400","226","174"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","329","177","152"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","411","238","173"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","344","180","164"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","301","154","147"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","346","204","142"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","347","188","159"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","327","196","131"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","335","149","186"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","357","187","170"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","351","181","170"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","444","303","141"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","3","382","194","188"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","583","426","157"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","662","472","190"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","452","259","193"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","416","269","147"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","494","335","159"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","518","353","165"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","422","253","169"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","371","230","141"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","477","332","145"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","401","275","126"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","436","270","166"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","538","358","180"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","674","493","181"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","469","330","139"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","448","288","160"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","349","172","177"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","946","744","202"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","451","287","164"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","954","743","211"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","4","457","297","160"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","891","656","235"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","574","390","184"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","946","735","211"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","638","470","168"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","567","392","175"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","602","459","143"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","530","377","153"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","810","615","195"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","584","416","168"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","588","419","169"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","420","247","173"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","719","550","169"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","721","555","166"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","941","707","234"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","686","516","170"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","673","497","176"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","630","467","163"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","768","569","199"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","773","567","206"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","5","654","463","191"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","924","711","213"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","764","572","192"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","777","604","173"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1316","1048","268"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","591","407","184"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","791","579","212"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","826","633","193"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1235","969","266"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1311","1059","252"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","833","640","193"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","904","722","182"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1259","963","296"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","847","666","181"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1035","834","201"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","945","725","220"
